orthographe	phonetique
Australiennes	ostRaljEn
Australiens	ostRalje~
Autosécur	otOsekyR
Autriche	otRiS
Autrichien	otRiSje~
Autrichienne	otRiSjEn
Autrichiennes	otRiSjEn
Autrichiens	otRiSje~
Auvergne	oveRnj
Avignon	avinjo~
Azouz	azuz
Açores	asOR
B	be
BASF	baEsEf
BBC	bibisi
BD	bede
BMW	beEmve
BSN	beEsEn
Babar	babaR
Babel	babEl
Bacchus	bakys
Bach	bak
Bagdad	bagdad
Bahamas	baamas
Bali	bali
Balkans	balkA
Baltimore	baltimOR
Balzac	balzak
Bangkok	bAgkOk
Bangladesh	bAgladES
Banque	bAk
Banques	bAk
Barbade	baRbad
Barcelone	baRs@lOn
Bas-Rhin	baRe~
Basque	bask
Basques	bask
Baudelaire	bod2lER
Baule	bol
Bavière	bavjER
Beatles	bit9ls
Beaubourg	bobuR
Beauce	bos
Beaujolais	boZOlE
Becquerel	bEkREl
Beethoven	betovEn
Belfast	bElfast
Belfort	bElfOR
Belge	bElZ
Belges	bElZ
Belgique	bElZik
Belgrade	bElgRad
Bellegarde	bEl@gaRd
Ben	bEn
Benoît	b@nwa
Berlin	bERle~
Bermudes	bERmyd
Bernard	bERnaR
Berne	bERn
Bertrand	bERtRA
Besançon	b2zAso~
Beyrouth	beRut
Bhoutan	butA
Bibliothèque	biblijotEk
Bibliothèques	biblijotEk
Birmanie	biRmani
Boeing	boig
Boeings	boig
Bogota	bogota
Bolivie	bOlivi
Bolivien	bOlivje~
Bolivienne	bOlivjEn
Boliviennes	bOlivjEn
Boliviens	bOlivje~
Bologne	bOlOnj
Bombay	bo~bE
Bonn	bOn
Bordeaux	bORdo
Bordelais	boRd@lE
Bosniaque	bosnjak
Bosniaques	bosnjak
Bosphore	bOsfOR
Boston	bOstOn
Bouddha	buda
Bouddhas	buda
Bourgogne	buRgonj
Bourse	buRs
Bourses	buRs
Brasilia	bRazilja
Brazzaville	bRazavil
Brecht	bRESt
Brest	bREst
Bretagne	bR@tanj
Breton	bR2to~
Bretonne	bR2tOn
Bretonnes	bR2tOn
Bretons	bR2to~
Britannique	bRitanik
Britanniques	bRitanik
Broadway	bROdwE
Brooklyn	bRuklin
Bruxelles	bRysEl
Brésil	bRezil
Brésilien	bRezilje~
Brésiliens	bRezilje~
Bucarest	bykaREst
Budapest	bydapEst
Buenos-Aires	bHenozER
Bulgarie	bylgaRi
Burundi	buRundi
Bush	buS
Byzance	bizAs
Bâle	bal
Bénin	bene~
Bénédicte	benedikt
Bénélux	benelyks
C.N.R.S.	seEnEREs
C.V.	seve
CD-ROM	sedeROm
CD-Rom	sedeROm
CD-Roms	sedeROm
CFDT	seEfdete
CGC	seZese
CGE	seZe2
CGT	seZete
CIA	seia
CIO	seio
CNPF	seEnpeEf
CNRS	seEnEREs
CRS	seEREs
CV	seve
Cachemire	kaS@miR
Cachemirien	kaS@miRje~
Cachemiriens	kaS@miRje~
Caen	kA
Cagliari	kaglijaRi
Caire	kER
Calcutta	kalkyta
Calgary	kalgaRi
Californie	kalifORni
Camargue	kamaRg
Cambodge	kAbOdZ
Cambodgien	kAbOdZje~
Cambodgienne	kAbOdZjEn
Cambodgiennes	kAbOdZjEn
Cambodgiens	kAbOdZje~
Cambridge	kAbRidZ
Cameroun	kamRun
Canada	kanada
Canadien	kanadje~
Canadienne	kanadjEn
Canadiennes	kanadjEn
Canadiens	kanadje~
Canberra	kAbeRa
Cannes	kan
Canton	kAto~
Caracas	kaRakas
Caraïbes	kaRajb
Carpates	kaRpat
Carême	kaREm
Carêmes	kaREm
Casablanca	kazablAka
Casanova	kazanova
Catherine	kat@Rin
Caucase	kOkaz
Celsius	sElsjys
Centre	sAtR
Centres	sAtR
Cervantès	sERvAtEs
Ceylan	selA
Chabrol	SabROl
Chambéry	SAbeRi
Chamonix	Samoni
Champagne	SApanj
Champs-Elysées	SAzElize
Cherbourg	SERbuR
Chevènement	S@vEnmA
Chicago	Sikago
Chili	Sili
Chilien	Silje~
Chiliens	Silje~
Chine	Sin
Chinois	Sinwa
Chinoise	Sinwaz
Chinoises	Sinwaz
Christ	kRist
Christian	kRistjA
Christophe	kRistOf
Christs	kRist
Chypre	SipR
Châteauneuf-du-Pape	Saton9fdypap
Cisjordanie	sisZORdani
Claude	klod
Clermont-Ferrand	klERmo~fERA
Clichy	kliSi
Cléopâtre	kleOpatR
Coca-Cola	kokakOla
Coca-Colas	kokakOla
Cocteau	kOkto
Cologne	kOlOnj
Colomb	kOlo~
Colombie	kOlo~bi
Colombien	kOlo~bje~
Colombiens	kOlo~bje~
Colorado	kOlORadO
Commission	kOmisjo~
Commissions	kOmisjo~
Communauté	kOmynote
Communautés	kOmynote
Compagnie	ko~panji
Compagnies	ko~panji
Conakry	kOnakRi
Confucius	ko~fysjys
Confédération	ko~fedeRasjo~
Confédérations	ko~fedeRasjo~
Congo	ko~gO
Congrès	ko~gRE
Conseil	ko~sEj
Conseils	ko~sEj
Conservatoire	ko~sERvatwaR
Conservatoires	ko~sERvatwaR
Copenhague	kOp@nag
Coran	kORA
Corfou	kORfu
Cornell	koRnEl
Cornouaille	kORnwaj
Cornouailles	kORnwaj
Corse	kORs
Corée	kORe
Cotonou	kotOnu
Cracovie	kRakovi
Crimée	kRime
Croix-Rouge	kRwaRuZ
Crozes-Hermitage	kRozERmitaZ
Crète	kREt
Cuba	kyba
Cubain	kybe~
Cubains	kybe~
Cécile	sesil
Céleste	selEst
Cévennes	sevEn
Côte-Rôtie	kot@ROti
Côte-d'Ivoire	kotdivwaR
Côtes-du-Rhône	kot@dyRon
D.C.A.	desea
Dachau	daSo
Dakar	dakaR
Dallas	dalas
Damas	damas
Danemark	dan@maRk
Danois	danwa
Danoise	danwaz
Danoises	danwaz
Danube	danyb
Delaware	d@lawER
Delors	d2lOR
Denver	dEnv9R
Depardieu	d@paRdj2
Descartes	dEkaRt
Diderot	did@Ro
Diesel	djezEl
Dieu	dj2
Dijon	diZo~
Djakarta	dZakaRta
Djibouti	dZibuti
Dordogne	dORdOnj
Dostoievski	dostojEvski
Douvres	duvR
Dr	dOkt9R
Dracula	dRakyla
Drummondville	dRumo~dvil
Drôme	dRom
Dublin	dyble~
Dunkerque	de~kERk
EDF	2deEf
ELF	Elf
ETA	@tea
Ecossais	ekosE
Ecossaise	ekosEz
Ecossaises	ekosEz
Ecosse	ekOs
Edgar	2dgaR
Edmée	2dme
Eglise	egliz
Eglises	egliz
Egypte	eZipt
Egyptien	eZipsje~
Egyptiens	eZipsje~
Egée	eZe
Elbe	Elb
Elda	Elda
Elf	Elf
Elvira	ElviRa
Elvis	Elvis
Elysée	elize
Emile	emil
Engadine	Agadin
Epiphanie	epifani
Equateur	Ekwat9R
Eric	eRik
Erythrée	ERitRe
Espagne	Espanj
Espagnol	EspanjOl
Espagnole	EspanjOl
Espagnoles	EspanjOl
Espagnols	EspanjOl
Esquimau	Eskimo
Esquimaude	Eskimod
Esquimaudes	Eskimod
Esquimaux	Eskimo
Esso	EsO
Essonne	esOn
Est	Est
Estonie	EstOni
Estramadure	EstRamadyR
Etat	eta
Etat-providence	etapRovidAs
Etats	eta
Etats-Unis	Etazyni
Etats-providence	etapRovidAs
Ethiopie	etjopi
Ethiopien	etjopje~
Ethiopiens	etjopje~
Etienne	etiEn
Eure	9R
Eures	9R
Europe	2ROp
Européen	2Ropee~
Européens	2Ropee~
Everest	ev2REst
Evry	EvRi
Express	EkspREs
Extrême-Orient	EkstREmORjA
Exxon	Ekso~
F	Ef
FAO	Efao
FBI	Efbiaj
FLE	EfEl@
FLN	EfElEn
FNAC	fnak
FO	Efo
Fatima	fatima
Figaro	figaRo
Finlandais	fe~lAdE
Finlande	fe~lAd
Flammarion	flamaRio~
Flaubert	flobER
Florence	flORAs
Florian	floRiA
Floride	flORid
Folio	fOljO
Fondation	fo~dasjo~
Fondations	fo~dasjo~
Ford	fORd
Formose	fORmoz
France	fRAs
France-Inter	fRAse~tER
France3	fRAse
Francfort	fRAkfOR
Franche-Comté	fRASko~te
Français	fRAsE
Française	fRAsEz
Françaises	fRAsEz
François	fRAswa
Fribourg	fRibuR
Front	fRo~
Fronts	fRo~
Frédéric	fRedeRik
Fès	fEs
Fédération	fedeRasjo~
Fédérations	fedeRasjo~
GB	Zebe
Gabon	gabo~
Gabonais	gabonE
Gallois	galwa
Galloise	galwaz
Galloises	galwaz
Gard	gaR
Gaston	gaston
Gaule	gol
Gaulois	golwa
Genève	Z@nEv
George	ZORZ
Germain	ZERmEn
Germinal	ZERminal
Gershwin	gERSwin
Gestapo	gEstapo
Ghana	gana
Giacometti	dZjakomEti
Gibraltar	ZibRaltaR
Gilbert	ZilbER
Gironde	ZiRo~d
Godard	gOdaR
Goliath	gOljat
Goncourt	go~kuR
Grande-Bretagne	gRAdbR@tanj
Grec	gREk
Grecs	gREk
Grenoble	gR2nObl
Grenoblois	gR2nOblwa
Groenland	gROEnlAd
Grèce	gREs
Guadeloupe	gwad@lup
Guatemala	gwatemala
Guinée	gine
Guy	gi
Général	ZeneRal
Généraux	ZeneRo
Géorgie	ZeORZi
Géorgien	ZeORZje~
Géorgiens	ZeORZje~
Gérard	ZeRaR
H	aS
H2O	aSd2O
HCR	aSseER
HLM	aSElEm
HTML	aSteEmEl
Hagège	aZEZ
Hambourg	AbuR
Hanoï	anoj
Harvard	aRvaRd
Hautes-Alpes	ot@zalp
Havane	avan
Haydn	ajdn
Haïti	aiti
Haïtien	aisje~
Haïtiens	aisje~
Heidelberg	EdElbERg
Helsinki	Elzinki
Henri	ARi
Hexagone	Egzagon
Hindou	e~du
Hindoue	e~du
Hindoues	e~du
Hindous	e~du
Hiroshima	iROSima
Hitchcock	itSkok
Hitler	itlER
Hollandais	OlAdE
Hollandaise	OlAdEz
Hollandaises	OlAdEz
Hollande	OlAd
Hollywood	Oliwud
Homère	OmER
Honda	o~da
Honduras	o~dyRas
Honeywell	onEwEl
Hongkong	o~gko~g
Hongrie	o~gRi
Hongrois	o~gRwa
Hubert	ybER
Humanité	ymanite
IBM	ibeEm
INSEE	inse
Ian	Zan
Inde	e~d
Indes	e~d
Indien	e~dje~
Indiens	e~dje~
Indochine	e~dOSin
Indonésie	e~dOnezi
Indonésien	e~dOnezje~
Indonésiens	e~dOnezje~
Institut	e~stity
Instituts	e~stity
Internet	e~tERnEt
Interpol	e~tERpOl
Inuit	inHit
Inuits	inHit
Invalides	e~valid
Irak	iRak
Irakien	iRakje~
Irakiens	iRakje~
Iran	iRA
Iranien	iRanje~
Iranienne	iRanjEn
Iraniennes	iRanjEn
Iraniens	iRanje~
Irlandais	iRlAdE
Irlandaise	iRlAdEz
Irlandaises	iRlAdEz
Irlande	iRlAd
Irène	iREn
Islam	islam
Islamabad	islamabad
Islande	islAd
Isorel	izOREl
Israélien	isRaelje~
Israéliens	isRaelje~
Israël	isRaEl
Istanboul	istAbul
Istanbul	istAbul
Isère	izER
Italie	itali
Italien	italje~
Italiens	italje~
Ivoirien	ivwaRje~
Ivoiriens	ivwaRje~
J-P	Zipe
Jacob	ZakOb
Jacqueline	Zak@lin
Jacques	Zak
Jamaïque	Zamaik
Japon	Zapo~
Japonais	ZaponE
Javascript	ZavaskRipt
Jean	ZA
Jean-Jacques	ZAZak
Jean-Luc	ZAlyk
Jean-Pierre	ZApjER
Jelloun	dZElun
Johannesburg	ZOanEsbuR
Joliette	ZOliEt
Jordanie	ZORdani
Jordanien	ZORdanje~
Jordaniens	ZORdanje~
Joseph	ZosEf
Juif	ZHif
Juifs	ZHif
Juive	ZHiv
Juives	ZHiv
Julie	Zyli
Jupiter	ZypitER
Jussieu	Zysj2
Jérusalem	ZeRyzalEm
Jésus-Christ	ZezykRi
KGB	kaZebe
Kaboul	kabul
Kansas	kAsas
Karl	kaRl
Kenya	kenja
Khartoum	kaRtum
Khrouchtchev	kRuStSEv
Koweit	kOwEt
LATL	ElateEl
Languedoc	lAg@dOk
Laos	laOs
Laotien	laosje~
Laotiens	laosje~
Laponie	lapOni
Lausanne	lozan
Laval	laval
Leipzig	lEpzig
Lettonie	lEtOni
Liban	libA
Libanais	libanE
Libye	libi
Libyen	libje~
Libyens	libje~
Libération	libeRasjo~
Lille	lil
Lima	lima
Lisbonne	lisbOn
Lituanie	litHani
Lituanien	litHanje~
Lituaniens	litHanje~
Liverpool	livERpul
Liège	ljEZ
Lloyd	lOjd
Londonien	lo~donje~
Londonienne	lo~donjEn
Londoniennes	lo~donjEn
Londoniens	lo~donje~
Londres	lo~dR
Lorraine	lOREn
Louis	lHi
Louisiane	lwizjan
Louisianne	luizian
Louvre	luvR
Luc	lyk
Lucerne	lysERn
Lucia	lysja
Lufthansa	luftAnsa
Luxembourg	lyksAbuR
Lyon	lio~
Léman	lemA
M.	m2sj2
MIT	Emajti
MM	mesj2
MM.	mesj2
MR.	m9sj2
MST	EmEste
Madagascar	madagaskaR
Madame	madam
Mademoiselle	mad@mwazEl
Mademoiselles	mad@mwazEl
Madrid	madRid
Mafalda	mafalda
Maghreb	magREb
Mahomet	maOmEt
Malaisie	malEzi
Maldives	maldiv
Malte	malt
Mamie	mami
Manche	mAS
Manchester	mASEstER
Manhattan	manatan
Marc	maRk
Marianne	maRjan
Marie	maRi
Marie-Anne	maRian
Marie-Antoinette	maRiAtwanEt
Marie-Josée	maRiZose
Maroc	maROk
Marrakech	maRakES
Mars	maRs
Marseillaise	maRsEjEz
Marseillaises	maRsEjEz
Marseille	maRsEj
Martine	maRtin
Martinique	maRtinik
Marx	maRks
Massachusetts	masaSysEts
Maure	mOR
Maures	mOR
Mauresque	moREsk
Mauresques	moREsk
Maurice	moRis
Mauritanie	mORitani
Max	maks
Mazda	mazda
McDonnell	mkadOnEl
McGill	makZil
Mecque	mEk
Mercedes	mERsedEs
Mercure	mERkyR
Mesdames	medam
Messieurs	mesj2
Metz	mEts
Meuse	m2z
Mexico	mEksiko
Mexique	mEksik
Mgr	mo~sEnj9R
Miami	miami
Michel	miSEl
Michel-Jean	miSElZA
Michigan	miSigA
Midi-Méditéranée	midimediteRane
Milan	milA
Miou-Miou	miumiu
Mireille	miREj
Mitterand	miteRA
Mlle	mad@mwazEl
Mlles	mEd@mwazEl
Mme	madam
Mmes	medam
Modigliani	mOdigliani
Mohamed	moamEd
Moldavie	mOldavi
Monaco	mOnako
Moncton	mo~kto~
Monde	mo~d
Mongolie	mo~gOli
Monsieur	m@sj2
Mont-Royal	mo~Rwajal
Montedison	mo~tedizo~
Montparnasse	mo~paRnas
Montpellier	mo~pElje
Montreuil	mo~tR9j
Montreux	mo~tR2
Montréal	mo~Real
Montélimar	mo~telimaR
Moscou	mOsku
Moselle	mosEl
Moskowa	mOskOva
Mozambique	mOzAbik
Mozart	mozaR
Moûtiers	mutje
Mr	m2sj2
Mrs	misiz
Mulhouse	myluz
Musée	myze
Musées	myze
Mâcon	mako~
Méditerranée	meditERane
Médoc	medok
NASA	naza
Nadine	nadin
Namibie	namibi
Nancy	nAsi
Nanterre	nAtER
Nantes	nAt
Naples	napl
Nathalie	natali
Nation	nasjo~
Nations	nasjo~
Neuchâtel	n2SatEl
Neuilly	n9ji
Nevada	nevada
New-York	njujORk
Newsweek	njuzwik
Nicaragua	nikaRagwa
Nicolas	nikOla
Niger	niZER
Nigeria	niZeRja
Nissan	nisan
Nobel	nObEl
Nord	nOR
Normandie	nORmAdi
Norvège	nORvEZ
Norvégien	nORveZje~
Norvégienne	nORveZjEn
Norvégiennes	nORveZjEn
Norvégiens	nORveZje~
Nouveau-Brunswick	nuvobRe~swik
Nouvelle-Calédonie	nuvElkaledOni
Nouvelle-Guinée	nuvElgine
Nouvelle-Orléans	nuvElORleA
Nouvelle-Zélande	nuvElzelAd
Noël	nOEl
Noëls	nOEl
Nyon	njo~
Néerlandais	neERlAdE
Néo-Zélandais	neozelAdE
Nîmes	nim
O.N.U.	OEny
OCDE	Osede9
OGM	OZeEm
OK	oke
OLP	OElpe
OMS	OEmEs
ONG	OEnZe
ONU	Ony
OPA	Opea
OPEP	OpEp
OTAN	OtA
Occident	oksidA
Occidental	oksidAtal
Occidentaux	oksidAto
Occitan	oksitA
Occitanie	oksitani
Occitans	oksitA
Océanie	Oseani
Ontario	o~taRjo
Opel	OpEl
Oran	ORA
Orange	ORAZ
Orchestre	ORkEstR
Orchestres	ORkEstR
Organisation	ORganizasjo~
Organisations	ORganizasjo~
Orient	ORjA
Orient-Express	ORjAtEkspREs
Oriental	ORjAtal
Orientale	ORjAtal
Orientales	ORjAtal
Orientaux	ORjAto
Oréal	OReal
Oslo	Oslo
Ostende	OstAd
Ouest	wEst
Oxford	OksfORd
PACA	paka
PC	pese
PCF	peseEf
PDG	pedege
PHP	peaSpe
PME	peEm@
PMI	peEmi
PS	peEs
PSA	peEsa
PTT	petete
PVC	pevese
Pacifique	pasifik
Pakistan	pakistA
Palestine	palEstin
Palestinien	palEstinje~
Palestiniens	palEstinje~
Panama	panama
Panthéon	pAteo~
Paraguay	paRagwE
Paribas	paRiba
Paris	paRi
Parisien	paRizje~
Parisienne	paRizjEn
Parisiennes	paRizjEn
Parisiens	paRizje~
Parlement	paRl@mA
Parti	paRti
Partis	paRti
Patrick	patRik
Paul	pOl
Pays-Bas	peiba
Pentagone	pe~tagon
Pentecôte	pAt@kot
Perpignan	pERpinjA
Peugeot	p2Zo
Philadelphie	filadElfi
Philippe	filip
Philippines	filipin
Picasso	pikaso
Pierre	pjER
Pluton	plyto~
Poitiers	pwatje
Pologne	pOlOnj
Polonais	pOlonE
Polonaise	pOlonEz
Polonaises	pOlonEz
Polynésie	pOlinezi
Pomerol	pOm@ROl
Portugais	pORtygE
Portugal	pORtygal
Prague	pRag
Presley	pREslE
Pretoria	pRetORja
Prince	pRe~s
Princes	pRe~s
Princesse	pRe~sEs
Princesses	pRe~sEs
Proche-Orient	pRoSORjA
Professeur	pRofes9R
Professeurs	pRofes9R
Prost	pRost
Provence	pROvAs
Provençal	pRovAsal
Provençaux	pRovAso
Providence	pRovidAs
Président	pRezidA
Présidents	pRezidA
Pyrénées	piRene
Pâques	pak
Pékin	peke~
Pérou	peRu
Quimper	ke~pER
Quinet	kinE
Québec	kebEk
Québécois	kebekwa
Québécoise	kebekwaz
Québécoises	kebekwaz
RATP	ERatepe
RER	ER2ER
RPR	ERpeER
RTL	ERteEl
Radisson	Radison
Raoul	Raul
Ray	RE
Raymond	REmo~
Reeves	Rivz
Reims	Re~s
Renart	R@naR
Renaud	R2no
Renault	R2nol
Rennes	REn
Reykjavik	Rekjavik
Rhin	Re~
Rhodes	ROd
Rhodésie	ROdezi
Rhône	Ron
Richard	RiSaR
Rio-de-Janeiro	Rjod2dZanERo
Rochelle	RoSEl
Roger	RoZe
Rohmer	Rom9R
Roissy	Rwasi
Rome	ROm
Rotterdam	ROtERdam
Roubaix	RubE
Rouen	RuA
Roumanie	Rumani
Roussillon	Rusijo~
Rover	Rov9R
Royaume-Uni	Rwajomyni
Ruanda	RwAda
Russe	Rys
Russes	Rys
Russie	Rysi
Russies	Rysi
Rwanda	RuAda
Rébublique	Rebyblik
Rébubliques	Rebyblik
République	Repyblik
Républiques	Repyblik
Réunion	Reynjo~
Révolution	RevOlysjo~
S.O.S.	EsoEs
SIDA	sida
SNCF	EsEnseEf
SOS	EsoEs
SQL	EskyEl
Sabena	sabena
Sacré-Coeur	sakRek9R
Sahara	saaRa
Saint	se~
Saint-Esprit	se~tEspRi
Saint-Laurent	se~loRAt
Saint-Lin	se~le~
Saint-Nazaire	se~nazER
Saint-Sylvestre	se~silvEstR
Sainte-Lucie	se~tlysi
Salvador	salvadOR
Sardaigne	saRdEnj
Satan	satA
Saturne	satyRn
Savoie	savwa
Scandinave	skAdinav
Scandinaves	skAdinav
Scandinavie	skAdinavi
Seattle	siatl
Seigneur	sEnj9R
Seine	sEn
Serbe	sERb
Serbes	sERb
Serbie	sERbi
Seychelles	seSEl
Shakespeare	SEkspiR
Shanghai	SAgaj
Shoah	SOa
Sibérie	sibeRi
Sicile	sisil
Siemens	sjemEns
Simon	simo~
Singapour	se~gapuR
Slovaquie	slOvaki
Slovénie	slOveni
Société	sosjete
Sociétés	sosjete
Sodome	sOdOm
Sofia	sOfja
Somalie	sOmali
Sony	sOni
Sorbonne	sORbOn
Soudan	sudA
Soviétique	sovjetik
Soviétiques	sovjetik
St-Germain	se~ZERmEn
Steve	stiv
Stockholm	stOkOlm
Strasbourg	stRazbuR
Stuttgart	stutgaRt
Stéphane	stefan
Sud	syd
Suisse	sHis
Suze-la-Rousse	syzlaRus
Suède	sHEd
Suédois	sHedwa
Suédoise	sHedwaz
Suédoises	sHedwaz
Swissair	swisER
Sydney	sidnE
Syracuse	siRakyz
Syrie	siRi
Sénégal	senegal
Sénégalais	senegalE
Séoul	seul
T-shirt	tiS9Rt
T-shirts	tiS9Rt
T.S.F.	teEsEf
TF1	teEfEl
TGV	teZeve
TOEFL	t9fl
TV	teve
TVA	tevea
Tahiti	taiti
Tamise	tamiz
Tamoul	tamul
Tamouls	tamul
Tanger	tAZe
Tanzanie	tAzani
Tasmanie	tasmani
Tavernier	tavERnie
Tchad	tSad
Tchadien	tSadje~
Tchadiens	tSadje~
Tchécoslovaquie	tSekOslOvaki
Terrebonne	tERbOn
Texas	tEksas
Thaïlande	tailAd
Tibet	tibE
Tirana	tiRana
Titan	titA
Titanic	titanik
Titans	titA
Tokyo	tOkjo
Toronto	toRo~to
Toulouse	tuluz
Toyota	tojota
Transylvanie	tRAsilvani
Trinité	tRinite
Tripoli	tRipOli
Troyes	tRwa
Truffaut	tRyfo
Tsigane	tsigan
Tsiganes	tsigan
Tuileries	tHil2Ri
Tunis	tynis
Tunisie	tynizi
Tunisien	tynizje~
Tunisiens	tynizje~
Turc	tyRk
Turcs	tyRk
Turin	tyRe~
Turque	tyRk
Turques	tyRk
Turquie	tyRki
Tyrol	tiROl
Téhéran	teeRA
Télévision	televizjo~
Télévisions	televizjo~
UDF	ydeEf
UNESCO	ynEsko
UQAM	ykam
URSS	yEREsEs
Ukraine	ykREn
Ulster	ylstER
Unilever	ynilvER
Union	ynjo~
Unions	ynjo~
Université	ynivERsite
Universités	ynivERsite
Uranus	yRanys
Ursulines	yRsylin
Uruguay	yRygwE
Valence	valAs
Valérie	valeRi
Varsovie	vaRsOvi
Vatican	vatikA
Vaucluse	voklyz
Venezuela	venezHEla
Venise	v@niz
Verdun	vERde~
Verlaine	vERlEn
Versailles	vERsaj
Vienne	vjEn
Vietnam	vjEtnam
Vietnamien	vjEtnamje~
Vietnamiens	vjEtnamje~
Vincennes	ve~sEn
Vincent	ve~sA
Visa	viza
Vitry-sur-Seine	vitRisyRsEn
Volkswagen	vOlksvagEn
Voltaire	vOltER
Vosges	voZ
Vénus	venys
Washington	waSigtOn
Wimbledon	wimbl2dOn
Win2000	Hindozd2mil
Windsor	windsOR
Wolfgang	wOlfgag
Wyoming	wajOmig
XPress	ikspREs
Xavier	gzavje
Xerox	gzeROks
Yalta	jalta
Yougoslavie	jugoslavi
Yucatan	ZukatA
Yverdon	ivERdo~
Yves	iv
Z	zEd
Zagreb	zagREb
Zambèze	zAbEz
Zidane	zidan
Zinedine	zinedin
Zola	zola
Zurich	zyRik
a	a
abaissa	abesa
abaissai	abese
abaissaient	abesE
abaissais	abesE
abaissait	abesE
abaissant	abesA
abaissas	abesa
abaissasse	abesas
abaissassent	abesas
abaissasses	abesas
abaissassiez	abesasje
abaissassions	abesasjo~
abaisse	abEs
abaisse-langue	abEslAg
abaisse-langues	abEslAg
abaissement	abEs@mA
abaissements	abEs@mA
abaissent	abEs
abaisser	abese
abaissera	abes@Ra
abaisserai	abes@Re
abaisseraient	abes@RE
abaisserais	abes@RE
abaisserait	abes@RE
abaisseras	abes@Ra
abaisserez	abes@Re
abaisseriez	abes@Rje
abaisserions	abes@Rjo~
abaisserons	abes@Ro~
abaisseront	abes@Ro~
abaisses	abEs
abaissez	abese
abaissiez	abesje
abaissions	abesjo~
abaissons	abeso~
abaissâmes	abesam
abaissât	abesa
abaissâtes	abesat
abaissèrent	abesER
abaissé	abese
abaissée	abese
abaissées	abese
abaissés	abese
abandon	abAdo~
abandonna	abAdOna
abandonnai	abAdOne
abandonnaient	abAdOnE
abandonnais	abAdOnE
abandonnait	abAdOnE
abandonnant	abAdOnA
abandonnas	abAdOna
abandonnasse	abAdOnas
abandonnassent	abAdOnas
abandonnasses	abAdOnas
abandonnassiez	abAdOnasje
abandonnassions	abAdOnasjo~
abandonne	abAdOn
abandonnent	abAdOn
abandonner	abAdOne
abandonnera	abAdOn@Ra
abandonnerai	abAdOn@Re
abandonneraient	abAdOn@RE
abandonnerais	abAdOn@RE
abandonnerait	abAdOn@RE
abandonneras	abAdOn@Ra
abandonnerez	abAdOn@Re
abandonneriez	abAdOn@Rje
abandonnerions	abAdOn@Rjo~
abandonnerons	abAdOn@Ro~
abandonneront	abAdOn@Ro~
